gloss1,gloss2,video1,video2,dtw_distance
Sister,Store or Shop,../all_outputs/output_ssl_small/Sister/1-5-w00820221103111446.mp4_1.pkl,../all_outputs/output_include/Places/Store or Shop/MVI_3635.pkl,122.78440627370581
Sinhala,Red,../all_outputs/output_ssl_small/Sinhala/4-3-w01820221216121929.mp4_1.pkl,../all_outputs/output_include/Colours/Red/MVI_5038.pkl,122.80510903788219
Good,Lock,../all_outputs/output_ssl_small/Good/2-3-w01120221110100859.mp4_1.pkl,../all_outputs/output_include/Home/Lock/MVI_8833.pkl,122.80826594007482
Thank_You,Student,../all_outputs/output_ssl_small/Thank_You/1-1-w04720221103114714.mp4_1.pkl,../all_outputs/output_include/Jobs/Student/MVI_4462.pkl,122.81083506338544
Holiday,God,../all_outputs/output_ssl_small/Holiday/1-3-w06220221103120650.mp4_1.pkl,../all_outputs/output_include/Society/God/MVI_4342.pkl,122.81509050105926
It,War,../all_outputs/output_ssl_small/It/3-5-w00720221216120500.mp4_1.pkl,../all_outputs/output_include/Society/War/MVI_8697.pkl,122.84142896336475
Report,Thank_you,../all_outputs/output_ssl_small/Report/4-1-w02120221216122740.mp4_1.pkl,../all_outputs/output_include/Greetings/Thank_you/MVI_9987.pkl,122.84877621316396
Report,Teacher,../all_outputs/output_ssl_small/Report/4-1-w02120221216122740.mp4_1.pkl,../all_outputs/output_include/Jobs/Teacher/MVI_4459.pkl,122.85208354008955
Big,Race (ethnicity),../all_outputs/output_ssl_small/Big/1-1-w01020221103111725.mp4_1.pkl,../all_outputs/output_include/Society/Race (ethnicity)/MVI_8949.pkl,122.87174362869838
You,healthy,../all_outputs/output_ssl_small/You/4-4-w00220221216115823.mp4_1.pkl,../all_outputs/output_include/Adjectives/healthy/MVI_9447.pkl,122.87205658180515
English,Reporter,../all_outputs/output_ssl_small/English/2-2-w02520221110102926.mp4_1.pkl,../all_outputs/output_include/Jobs/Reporter/MVI_4788.pkl,122.89353634919266
My,train_ticket,../all_outputs/output_ssl_small/My/3-2-w03020221216124641.mp4_1.pkl,../all_outputs/output_include/Means_of_Transportation/train_ticket/MVI_3253.pkl,122.89356812501985
You,God,../all_outputs/output_ssl_small/You/4-4-w00220221216115823.mp4_1.pkl,../all_outputs/output_include/Society/God/MVI_4342.pkl,122.90545127872008
Talk,Location,../all_outputs/output_ssl_small/Talk/3-5-w03520221216131823.mp4_1.pkl,../all_outputs/output_include/Places/Location/MVI_3672.pkl,122.91325529662403
See?,Energy,../all_outputs/output_ssl_small/See?/4-5-w05520221216134855.mp4_1.pkl,../all_outputs/output_include/Society/Energy/MVI_4290.pkl,122.91851671961929
Class,Neighbour,../all_outputs/output_ssl_small/Class/4-5-w01920221216122049.mp4_1.pkl,../all_outputs/output_include/People/Neighbour/MVI_5277.pkl,122.9252106824478
Go,Bedroom,../all_outputs/output_ssl_small/Go/4-4-w03620221216131954.mp4_1.pkl,../all_outputs/output_include/Home/Bedroom/MVI_4371.pkl,122.93242609045024
Stay?,Family,../all_outputs/output_ssl_small/Stay?/3-5-w05420221216134811.mp4_1.pkl,../all_outputs/output_include/People/Family/MVI_8635.pkl,122.95117354085606
Class,Sport,../all_outputs/output_ssl_small/Class/4-5-w01920221216122049.mp4_1.pkl,../all_outputs/output_include/Society/Sport/MVI_8724.pkl,122.97699970787785
Age,Fish,../all_outputs/output_ssl_small/Age/3-4-w02820221216124422.mp4_1.pkl,../all_outputs/output_include/Animals/Fish/MVI_3069.pkl,122.98176527785165
Class,President,../all_outputs/output_ssl_small/Class/4-5-w01920221216122049.mp4_1.pkl,../all_outputs/output_include/People/President/MVI_5128.pkl,122.98411256218432
Sinhala,Student,../all_outputs/output_ssl_small/Sinhala/4-3-w01820221216121929.mp4_1.pkl,../all_outputs/output_include/Jobs/Student/MVI_4462.pkl,122.98682341253266
Ten_People,Sport,../all_outputs/output_ssl_small/Ten_People/1-1-w02020221103121410.mp4_1.pkl,../all_outputs/output_include/Society/Sport/MVI_8724.pkl,122.99591611317565
Tuesday,hot,../all_outputs/output_ssl_small/Tuesday/2-1-w02720221110103149.mp4_1.pkl,../all_outputs/output_include/Adjectives/hot/MVI_9248.pkl,123.00451799404817
Start,Train Station,../all_outputs/output_ssl_small/Start/4-4-w04520221216133050.mp4_1.pkl,../all_outputs/output_include/Places/Train Station/MVI_3446.pkl,123.00571003926095
Talk,healthy,../all_outputs/output_ssl_small/Talk/3-5-w03520221216131823.mp4_1.pkl,../all_outputs/output_include/Adjectives/healthy/MVI_9447.pkl,123.01067166651842
Tomorrow,Box,../all_outputs/output_ssl_small/Tomorrow/4-4-w01520221216121456.mp4_1.pkl,../all_outputs/output_include/Home/Box/MVI_4438.pkl,123.04031957588406
English,Baby,../all_outputs/output_ssl_small/English/2-2-w02520221110102926.mp4_1.pkl,../all_outputs/output_include/People/Baby/MVI_4067.pkl,123.04636064661604
What,Street_or_Road,../all_outputs/output_ssl_small/What/4-3-w05020221216134123.mp4_1.pkl,../all_outputs/output_include/Places/Street_or_Road/MVI_3599.pkl,123.05185734775348
Thank_You,Good_evening,../all_outputs/output_ssl_small/Thank_You/1-1-w04720221103114714.mp4_1.pkl,../all_outputs/output_include/Greetings/Good_evening/MVI_0054.pkl,123.05731668430401
Go,Screen,../all_outputs/output_ssl_small/Go/4-4-w03620221216131954.mp4_1.pkl,../all_outputs/output_include/Electronics/Screen/MVI_4552.pkl,123.0727796642514
Sinhala,poor,../all_outputs/output_ssl_small/Sinhala/4-3-w01820221216121929.mp4_1.pkl,../all_outputs/output_include/Adjectives/poor/MVI_9740.pkl,123.07475785018984
Ten_People,Reporter,../all_outputs/output_ssl_small/Ten_People/1-1-w02020221103121410.mp4_1.pkl,../all_outputs/output_include/Jobs/Reporter/MVI_4788.pkl,123.07521891130673
Thank_You,Chair,../all_outputs/output_ssl_small/Thank_You/1-1-w04720221103114714.mp4_1.pkl,../all_outputs/output_include/Home/Chair/MVI_4874.pkl,123.091825603672
Report,Race (ethnicity),../all_outputs/output_ssl_small/Report/4-1-w02120221216122740.mp4_1.pkl,../all_outputs/output_include/Society/Race (ethnicity)/MVI_8949.pkl,123.10573147668204
Learn,Shoes,../all_outputs/output_ssl_small/Learn/3-2-w03420221216131706.mp4_1.pkl,../all_outputs/output_include/Clothes/Shoes/MVI_5176.pkl,123.10618201848507
Me,cold,../all_outputs/output_ssl_small/Me/3-5-w00320221216115837.mp4_1.pkl,../all_outputs/output_include/Adjectives/cold/MVI_5220.pkl,123.11027673683537
How_many,Time,../all_outputs/output_ssl_small/How_many/1-4-w05120221103115238.mp4_1.pkl,../all_outputs/output_include/Days_and_Time/Time/MVI_5078.pkl,123.11487539627178
Me,Neighbour,../all_outputs/output_ssl_small/Me/3-5-w00320221216115837.mp4_1.pkl,../all_outputs/output_include/People/Neighbour/MVI_5277.pkl,123.11678412425637
Today,Lock,../all_outputs/output_ssl_small/Today/3-1-w01320221216121141.mp4_1.pkl,../all_outputs/output_include/Home/Lock/MVI_8833.pkl,123.13033100248799
Start,Neighbour,../all_outputs/output_ssl_small/Start/4-4-w04520221216133050.mp4_1.pkl,../all_outputs/output_include/People/Neighbour/MVI_5277.pkl,123.13187214497324
Read,Boy,../all_outputs/output_ssl_small/Read/4-2-w04620221216133130.mp4_1.pkl,../all_outputs/output_include/People/Boy/MVI_5132.pkl,123.13385399942489
Tomorrow,Ground,../all_outputs/output_ssl_small/Tomorrow/4-4-w01520221216121456.mp4_1.pkl,../all_outputs/output_include/Places/Ground/MVI_3659.pkl,123.14082050383949
Learn,Lawyer,../all_outputs/output_ssl_small/Learn/3-2-w03420221216131706.mp4_1.pkl,../all_outputs/output_include/Jobs/Lawyer/MVI_4467.pkl,123.14273457681975
Class,Time,../all_outputs/output_ssl_small/Class/4-5-w01920221216122049.mp4_1.pkl,../all_outputs/output_include/Days_and_Time/Time/MVI_5078.pkl,123.15737940825463
See,Son,../all_outputs/output_ssl_small/See/2-2-w04020221110105049.mp4_1.pkl,../all_outputs/output_include/People/Son/MVI_3755.pkl,123.17983073986039
Write,Neighbour,../all_outputs/output_ssl_small/Write/1-5-w04420221103114351.mp4_1.pkl,../all_outputs/output_include/People/Neighbour/MVI_5277.pkl,123.19430170351218
See,Car,../all_outputs/output_ssl_small/See/2-2-w04020221110105049.mp4_1.pkl,../all_outputs/output_include/Means_of_Transportation/Car/MVI_3147.pkl,123.20398170863758
Go,long,../all_outputs/output_ssl_small/Go/4-4-w03620221216131954.mp4_1.pkl,../all_outputs/output_include/Adjectives/long/MVI_9300.pkl,123.22361518484702
Big,Wife,../all_outputs/output_ssl_small/Big/1-1-w01020221103111725.mp4_1.pkl,../all_outputs/output_include/People/Wife/MVI_5119.pkl,123.24065498951356
My,Peace,../all_outputs/output_ssl_small/My/3-2-w03020221216124641.mp4_1.pkl,../all_outputs/output_include/Society/Peace/MVI_4835.pkl,123.25667283984968
Report,Dress,../all_outputs/output_ssl_small/Report/4-1-w02120221216122740.mp4_1.pkl,../all_outputs/output_include/Clothes/Dress/MVI_5010.pkl,123.26220731043581
Class,cold,../all_outputs/output_ssl_small/Class/4-5-w01920221216122049.mp4_1.pkl,../all_outputs/output_include/Adjectives/cold/MVI_5220.pkl,123.263762057605
Hello,T-Shirt,../all_outputs/output_ssl_small/Hello/4-4-w03920221216132408.mp4_1.pkl,../all_outputs/output_include/Clothes/T-Shirt/MVI_3704.pkl,123.27367716439547
It,hot,../all_outputs/output_ssl_small/It/3-5-w00720221216120500.mp4_1.pkl,../all_outputs/output_include/Adjectives/hot/MVI_9248.pkl,123.30938840362288
Again,Photograph,../all_outputs/output_ssl_small/Again/2-2-w03120221110103616.mp4_1.pkl,../all_outputs/output_include/Home/Photograph/MVI_8796.pkl,123.31683264691888
Go,Tuesday,../all_outputs/output_ssl_small/Go/4-4-w03620221216131954.mp4_1.pkl,../all_outputs/output_include/Days_and_Time/Tuesday/MVI_5014.pkl,123.32607717676734
Learn,Paint,../all_outputs/output_ssl_small/Learn/3-2-w03420221216131706.mp4_1.pkl,../all_outputs/output_include/Home/Paint/MVI_4412.pkl,123.35940243074636
Hello,Monday,../all_outputs/output_ssl_small/Hello/4-4-w03920221216132408.mp4_1.pkl,../all_outputs/output_include/Days_and_Time/Monday/MVI_5447.pkl,123.37907606716027
Big,big_large,../all_outputs/output_ssl_small/Big/1-1-w01020221103111725.mp4_1.pkl,../all_outputs/output_include/Adjectives/big_large/MVI_9317.pkl,123.3804086403934
Go,new,../all_outputs/output_ssl_small/Go/4-4-w03620221216131954.mp4_1.pkl,../all_outputs/output_include/Adjectives/new/MVI_9342.pkl,123.3853500025893
Make,Newspaper,../all_outputs/output_ssl_small/Make/1-5-w03820221103113520.mp4_1.pkl,../all_outputs/output_include/Society/Newspaper/MVI_4842.pkl,123.38862552693877
Thank_You,Doctor,../all_outputs/output_ssl_small/Thank_You/1-1-w04720221103114714.mp4_1.pkl,../all_outputs/output_include/Jobs/Doctor/MVI_4754.pkl,123.38922835489636
Video,Car,../all_outputs/output_ssl_small/Video/1-2-w02220221103121901.mp4_1.pkl,../all_outputs/output_include/Means_of_Transportation/Car/MVI_3147.pkl,123.40229318914969
See?,God,../all_outputs/output_ssl_small/See?/4-5-w05520221216134855.mp4_1.pkl,../all_outputs/output_include/Society/God/MVI_4342.pkl,123.42054654632864
Children,Parent,../all_outputs/output_ssl_small/Children/1-2-w01720221103121056.mp4_1.pkl,../all_outputs/output_include/People/Parent/MVI_3916.pkl,123.4472646196658
Read,Court,../all_outputs/output_ssl_small/Read/4-2-w04620221216133130.mp4_1.pkl,../all_outputs/output_include/Places/Court/MVI_3367.pkl,123.45704242367769
Talk,Wife,../all_outputs/output_ssl_small/Talk/3-5-w03520221216131823.mp4_1.pkl,../all_outputs/output_include/People/Wife/MVI_5119.pkl,123.47448906394617
Learn?,Death,../all_outputs/output_ssl_small/Learn?/4-3-w05220221216134355.mp4_1.pkl,../all_outputs/output_include/Society/Death/MVI_8930.pkl,123.47902467910768
You,Energy,../all_outputs/output_ssl_small/You/4-4-w00220221216115823.mp4_1.pkl,../all_outputs/output_include/Society/Energy/MVI_4290.pkl,123.48039863681696
Sister,War,../all_outputs/output_ssl_small/Sister/1-5-w00820221103111446.mp4_1.pkl,../all_outputs/output_include/Society/War/MVI_8697.pkl,123.49208804708428
House,Store or Shop,../all_outputs/output_ssl_small/House/3-4-w02920221216124537.mp4_1.pkl,../all_outputs/output_include/Places/Store or Shop/MVI_3635.pkl,123.49366645774879
Learn,narrow,../all_outputs/output_ssl_small/Learn/3-2-w03420221216131706.mp4_1.pkl,../all_outputs/output_include/Adjectives/narrow/MVI_5122.pkl,123.5029528076832
Big,Suit,../all_outputs/output_ssl_small/Big/1-1-w01020221103111725.mp4_1.pkl,../all_outputs/output_include/Clothes/Suit/MVI_5161.pkl,123.5273832158822
Read,Wednesday,../all_outputs/output_ssl_small/Read/4-2-w04620221216133130.mp4_1.pkl,../all_outputs/output_include/Days_and_Time/Wednesday/MVI_9149.pkl,123.53902147587121
Video,T-Shirt,../all_outputs/output_ssl_small/Video/1-2-w02220221103121901.mp4_1.pkl,../all_outputs/output_include/Clothes/T-Shirt/MVI_3704.pkl,123.53942992258094
Thank_You,Baby,../all_outputs/output_ssl_small/Thank_You/1-1-w04720221103114714.mp4_1.pkl,../all_outputs/output_include/People/Baby/MVI_4067.pkl,123.5424874579216
Learn?,Box,../all_outputs/output_ssl_small/Learn?/4-3-w05220221216134355.mp4_1.pkl,../all_outputs/output_include/Home/Box/MVI_4438.pkl,123.548078187675
Learn,Court,../all_outputs/output_ssl_small/Learn/3-2-w03420221216131706.mp4_1.pkl,../all_outputs/output_include/Places/Court/MVI_3367.pkl,123.55742335413555
Sinhala,Paper,../all_outputs/output_ssl_small/Sinhala/4-3-w01820221216121929.mp4_1.pkl,../all_outputs/output_include/Home/Paper/MVI_4934.pkl,123.5599358352575
Make,Train Station,../all_outputs/output_ssl_small/Make/1-5-w03820221103113520.mp4_1.pkl,../all_outputs/output_include/Places/Train Station/MVI_3446.pkl,123.56824705862584
Thank_You,Tuesday,../all_outputs/output_ssl_small/Thank_You/1-1-w04720221103114714.mp4_1.pkl,../all_outputs/output_include/Days_and_Time/Tuesday/MVI_5014.pkl,123.57397322502884
Hello,Spring,../all_outputs/output_ssl_small/Hello/4-4-w03920221216132408.mp4_1.pkl,../all_outputs/output_include/Seasons/Spring/MVI_4569.pkl,123.58677051748347
My,Hospital,../all_outputs/output_ssl_small/My/3-2-w03020221216124641.mp4_1.pkl,../all_outputs/output_include/Places/Hospital/MVI_3641.pkl,123.58779911894793
