gloss1,gloss2,video1,video2,dtw_distance
There,Fish,../all_outputs/output_ssl_small/There/4-1-w05920221216135522.mp4_1.pkl,../all_outputs/output_include/Animals/Fish/MVI_3093.pkl,84.15295199492068
Hello,Paper,../all_outputs/output_ssl_small/Hello/4-2-w03920221216132353.mp4_1.pkl,../all_outputs/output_include/Home/Paper/MVI_8827.pkl,84.52281840637215
Start,Fish,../all_outputs/output_ssl_small/Start/4-1-w04520221216133029.mp4_1.pkl,../all_outputs/output_include/Animals/Fish/MVI_8566.pkl,84.62108705672587
There,Medicine,../all_outputs/output_ssl_small/There/4-1-w05920221216135522.mp4_1.pkl,../all_outputs/output_include/Society/Medicine/MVI_8668.pkl,84.68548458694713
Children,Box,../all_outputs/output_ssl_small/Children/1-2-w01720221103121056.mp4_1.pkl,../all_outputs/output_include/Home/Box/MVI_8842.pkl,84.74128549049546
Holiday,Grey,../all_outputs/output_ssl_small/Holiday/4-2-w06220221216140006.mp4_1.pkl,../all_outputs/output_include/Colours/Grey/MVI_8621.pkl,84.77056416827817
My,Animal,../all_outputs/output_ssl_small/My/2-3-w03020221110103526.mp4_1.pkl,../all_outputs/output_include/Animals/Animal/MVI_8576.pkl,84.88146065419552
Tomorrow,Bill,../all_outputs/output_ssl_small/Tomorrow/3-2-w01520221216121346.mp4_1.pkl,../all_outputs/output_include/Society/Bill/MVI_8673.pkl,85.06688813724385
See,Bank,../all_outputs/output_ssl_small/See/3-3-w04020221216132449.mp4_1.pkl,../all_outputs/output_include/Places/Bank/MVI_3661.pkl,85.48790504357261
Make,Bathroom,../all_outputs/output_ssl_small/Make/1-3-w03820221103113502.mp4_1.pkl,../all_outputs/output_include/Home/Bathroom/MVI_8783.pkl,85.60714593112766
Children,Medicine,../all_outputs/output_ssl_small/Children/4-4-w01720221216121840.mp4_1.pkl,../all_outputs/output_include/Society/Medicine/MVI_8668.pkl,85.77035009548696
Dialog box,Box,../all_outputs/output_ssl_small/Dialog box/3-2-w02420221216123403.mp4_1.pkl,../all_outputs/output_include/Home/Box/MVI_8844.pkl,85.78309171650199
Read,Letter,../all_outputs/output_ssl_small/Read/3-2-w04620221216133123.mp4_1.pkl,../all_outputs/output_include/Home/Letter/MVI_8822.pkl,85.81338398743328
See?,Letter,../all_outputs/output_ssl_small/See?/1-5-w05520221103120003.mp4_1.pkl,../all_outputs/output_include/Home/Letter/MVI_8822.pkl,85.95432886863684
Dialog box,Brown,../all_outputs/output_ssl_small/Dialog box/1-1-w02420221103122335.mp4_1.pkl,../all_outputs/output_include/Colours/Brown/MVI_5050.pkl,85.98081622702917
Dialog box,Bag,../all_outputs/output_ssl_small/Dialog box/3-2-w02420221216123403.mp4_1.pkl,../all_outputs/output_include/Home/Bag/MVI_8840.pkl,86.03206786381357
Mother,Letter,../all_outputs/output_ssl_small/Mother/3-3-w00420221216115913.mp4_1.pkl,../all_outputs/output_include/Home/Letter/MVI_8822.pkl,86.1263552031035
Go,Fish,../all_outputs/output_ssl_small/Go/2-5-w03620221110104518.mp4_1.pkl,../all_outputs/output_include/Animals/Fish/MVI_8566.pkl,86.41094182057867
Make,Laptop,../all_outputs/output_ssl_small/Make/3-3-w03820221216132308.mp4_1.pkl,../all_outputs/output_include/Electronics/Laptop/MVI_9108.pkl,86.46943002955447
Dialog box,Animal,../all_outputs/output_ssl_small/Dialog box/3-2-w02420221216123403.mp4_1.pkl,../all_outputs/output_include/Animals/Animal/MVI_4167.pkl,86.58962700302702
Thank_You,Market,../all_outputs/output_ssl_small/Thank_You/1-3-w04720221103114732.mp4_1.pkl,../all_outputs/output_include/Places/Market/MVI_3489.pkl,86.85418161481716
Thank_You,Court,../all_outputs/output_ssl_small/Thank_You/4-3-w04720221216133242.mp4_1.pkl,../all_outputs/output_include/Places/Court/MVI_3532.pkl,86.9333942364827
Staying,Box,../all_outputs/output_ssl_small/Staying/3-5-w03220221216131429.mp4_1.pkl,../all_outputs/output_include/Home/Box/MVI_8842.pkl,86.99532017070948
What,Paper,../all_outputs/output_ssl_small/What/5-4-w05020221216134110.mp4_1.pkl,../all_outputs/output_include/Home/Paper/MVI_8829.pkl,86.99945160305593
Staying,Bag,../all_outputs/output_ssl_small/Staying/3-5-w03220221216131429.mp4_1.pkl,../all_outputs/output_include/Home/Bag/MVI_8839.pkl,87.02787259660461
Hello,Court,../all_outputs/output_ssl_small/Hello/4-5-w03920221216132418.mp4_1.pkl,../all_outputs/output_include/Places/Court/MVI_3532.pkl,87.17296563124258
What,Fish,../all_outputs/output_ssl_small/What/4-1-w05020221216134105.mp4_1.pkl,../all_outputs/output_include/Animals/Fish/MVI_8566.pkl,87.33801940709247
Where,Letter,../all_outputs/output_ssl_small/Where/4-2-w04920221216133822.mp4_1.pkl,../all_outputs/output_include/Home/Letter/MVI_8822.pkl,87.36439205517188
Report,Medicine,../all_outputs/output_ssl_small/Report/4-3-w02120221216122802.mp4_1.pkl,../all_outputs/output_include/Society/Medicine/MVI_8668.pkl,87.42786284745887
w064,Paint,../all_outputs/output_ssl_small/w064/3-5-w06420221216140315.mp4_1.pkl,../all_outputs/output_include/Home/Paint/MVI_8818.pkl,87.43232481730512
w064,Box,../all_outputs/output_ssl_small/w064/3-5-w06420221216140315.mp4_1.pkl,../all_outputs/output_include/Home/Box/MVI_4437.pkl,87.49935939509021
Hello,Bank,../all_outputs/output_ssl_small/Hello/3-4-w03920221216132406.mp4_1.pkl,../all_outputs/output_include/Places/Bank/MVI_3661.pkl,87.54924986254082
Report,Fish,../all_outputs/output_ssl_small/Report/4-3-w02120221216122802.mp4_1.pkl,../all_outputs/output_include/Animals/Fish/MVI_8565.pkl,87.58324051196513
Go,Letter,../all_outputs/output_ssl_small/Go/2-3-w03620221110104501.mp4_1.pkl,../all_outputs/output_include/Home/Letter/MVI_8822.pkl,87.7618747462919
Where,Grey,../all_outputs/output_ssl_small/Where/4-2-w04920221216133822.mp4_1.pkl,../all_outputs/output_include/Colours/Grey/MVI_8621.pkl,87.84283302845101
Big,Lawyer,../all_outputs/output_ssl_small/Big/3-3-w01020221216120836.mp4_1.pkl,../all_outputs/output_include/Jobs/Lawyer/MVI_4469.pkl,88.00422001365041
See,Window,../all_outputs/output_ssl_small/See/3-3-w04020221216132449.mp4_1.pkl,../all_outputs/output_include/Home/Window/MVI_4883.pkl,88.06895637679936
Hello,Manager,../all_outputs/output_ssl_small/Hello/4-5-w03920221216132418.mp4_1.pkl,../all_outputs/output_include/Jobs/Manager/MVI_4510.pkl,88.20530860775234
Children,Cat,../all_outputs/output_ssl_small/Children/4-4-w01720221216121840.mp4_1.pkl,../all_outputs/output_include/Animals/Cat/MVI_8562.pkl,88.44493381287926
w064,Bank,../all_outputs/output_ssl_small/w064/3-5-w06420221216140315.mp4_1.pkl,../all_outputs/output_include/Places/Bank/MVI_3661.pkl,88.54036786222416
Children,Queen,../all_outputs/output_ssl_small/Children/4-4-w01720221216121840.mp4_1.pkl,../all_outputs/output_include/People/Queen/MVI_5123.pkl,88.64075377968386
Make,Cat,../all_outputs/output_ssl_small/Make/1-3-w03820221103113502.mp4_1.pkl,../all_outputs/output_include/Animals/Cat/MVI_8562.pkl,88.65428380207383
Make,Horse,../all_outputs/output_ssl_small/Make/3-1-w03820221216132252.mp4_1.pkl,../all_outputs/output_include/Animals/Horse/MVI_4166.pkl,88.8018986404622
University,Letter,../all_outputs/output_ssl_small/University/4-2-w00920221216120753.mp4_1.pkl,../all_outputs/output_include/Home/Letter/MVI_8824.pkl,88.82087954672848
Children,Bank,../all_outputs/output_ssl_small/Children/4-4-w01720221216121840.mp4_1.pkl,../all_outputs/output_include/Places/Bank/MVI_3661.pkl,89.16760460533294
Tuesday,Letter,../all_outputs/output_ssl_small/Tuesday/3-3-w02720221216124002.mp4_1.pkl,../all_outputs/output_include/Home/Letter/MVI_8824.pkl,89.20981171982733
See,Cow,../all_outputs/output_ssl_small/See/3-2-w04020221216132441.mp4_1.pkl,../all_outputs/output_include/Animals/Cow/MVI_2991.pkl,89.28971167435384
Report,Letter,../all_outputs/output_ssl_small/Report/4-3-w02120221216122802.mp4_1.pkl,../all_outputs/output_include/Home/Letter/MVI_8824.pkl,89.86462116568515
Thank_You,Box,../all_outputs/output_ssl_small/Thank_You/1-3-w04720221103114732.mp4_1.pkl,../all_outputs/output_include/Home/Box/MVI_8844.pkl,89.97461652124497
See?,Chair,../all_outputs/output_ssl_small/See?/1-5-w05520221103120003.mp4_1.pkl,../all_outputs/output_include/Home/Chair/MVI_8756.pkl,89.9757426581506
Tuesday,Laptop,../all_outputs/output_ssl_small/Tuesday/4-3-w02720221216124035.mp4_1.pkl,../all_outputs/output_include/Electronics/Laptop/MVI_4546.pkl,90.15230979652067
See?,Book,../all_outputs/output_ssl_small/See?/4-2-w05520221216134831.mp4_1.pkl,../all_outputs/output_include/Home/Book/MVI_8804.pkl,90.15926966621959
Yes,Grey,../all_outputs/output_ssl_small/Yes/4-1-w06320221216140147.mp4_1.pkl,../all_outputs/output_include/Colours/Grey/MVI_5065.pkl,90.17845857206096
Sinhala,Bag,../all_outputs/output_ssl_small/Sinhala/2-2-w01820221110101517.mp4_1.pkl,../all_outputs/output_include/Home/Bag/MVI_8840.pkl,90.20971161824271
Hello,Fish,../all_outputs/output_ssl_small/Hello/4-5-w03920221216132418.mp4_1.pkl,../all_outputs/output_include/Animals/Fish/MVI_8565.pkl,90.24556165835226
Make,Brown,../all_outputs/output_ssl_small/Make/1-3-w03820221103113502.mp4_1.pkl,../all_outputs/output_include/Colours/Brown/MVI_3878.pkl,90.25194591198273
Good,Paint,../all_outputs/output_ssl_small/Good/3-3-w01120221216120941.mp4_1.pkl,../all_outputs/output_include/Home/Paint/MVI_8817.pkl,90.2521562999392
Sinhala,Fish,../all_outputs/output_ssl_small/Sinhala/2-2-w01820221110101517.mp4_1.pkl,../all_outputs/output_include/Animals/Fish/MVI_3093.pkl,90.38147591004231
Big,Cat,../all_outputs/output_ssl_small/Big/3-3-w01020221216120836.mp4_1.pkl,../all_outputs/output_include/Animals/Cat/MVI_4150.pkl,90.39751361770873
Staying,Horse,../all_outputs/output_ssl_small/Staying/4-3-w03220221216124636.mp4_1.pkl,../all_outputs/output_include/Animals/Horse/MVI_3105.pkl,90.46617530590231
Good,Cow,../all_outputs/output_ssl_small/Good/3-4-w01120221216120949.mp4_1.pkl,../all_outputs/output_include/Animals/Cow/MVI_8569.pkl,90.46803664768827
Big,T-Shirt,../all_outputs/output_ssl_small/Big/3-3-w01020221216120836.mp4_1.pkl,../all_outputs/output_include/Clothes/T-Shirt/MVI_5023.pkl,90.59061494242866
Children,Animal,../all_outputs/output_ssl_small/Children/4-4-w01720221216121840.mp4_1.pkl,../all_outputs/output_include/Animals/Animal/MVI_4167.pkl,90.65940864506497
My,Page,../all_outputs/output_ssl_small/My/3-4-w03020221216124658.mp4_1.pkl,../all_outputs/output_include/Home/Page/MVI_4920.pkl,90.77950446242109
Good,Cat,../all_outputs/output_ssl_small/Good/3-3-w01120221216120941.mp4_1.pkl,../all_outputs/output_include/Animals/Cat/MVI_4150.pkl,90.88608026349486
Can?,Fish,../all_outputs/output_ssl_small/Can?/4-5-w05320221216134711.mp4_1.pkl,../all_outputs/output_include/Animals/Fish/MVI_8566.pkl,90.95249819191527
