Model,Accuracy,Accuracy_Fixed_Testing,F1,F1_Fixed_Testing,Epochs,Epochs_Fixed_Testing,Base_Model_Class,FT/Direct_Classes,FT/T_Instance_per_class,Model_Type,Overlapping
80 Class ISL Base Model  (Movement Overlapping) Finetuned with 64 Class SSL- 2 Instance Per Class (5 runs avg),,0.4138 (±0.0126),,0.3960 (±0.0116),,87.2000 (±4.9960),80,64,2,FINETUNED,Movement
240 Class ISL Base Model Finetuned with 48 Class SSL- 6 Instance per Class (5 runs avg),0.7500 (±0.0192),0.7750 (±0.0127),0.7469 (±0.0221),0.7633 (±0.0120),71.4000 (±15.9324),74.4000 (±4.1280),240,48,6,FINETUNED,No
200 Class ISL Base Model Finetuned with 48 Class SSL- 6 Instance Per Class (5 runs avg),0.7649 (±0.0391),0.7720 (±0.0099),0.7578 (±0.0379),0.7692 (±0.0116),68.6000 (±11.0200),76.8000 (±9.2607),200,48,6,FINETUNED,No
160 Class ISL Base Model Finetuned with 48 Class SSL- 6 Instance Per Class (5 runs avg),0.7411 (±0.0227),0.7601 (±0.0133),0.7346 (±0.0223),0.7557 (±0.0117),64.4000 (±1.8547),74.2000 (±14.7431),160,48,6,FINETUNED,No
120 Class ISL Base Model Finetuned with 48 Class SSL- 6 Instance Per Class (5 runs avg),0.7798 (±0.0233),0.7673 (±0.0104),0.7718 (±0.0266),0.7617 (±0.0164),87.8000 (±15.6384),78.2000 (±9.1082),120,48,6,FINETUNED,No
80 Class ISL Base Model Finetuned with 48 Class SSL- 6 Instance Per Class (5 runs avg),0.7976 (±0.0301),0.7923 (±0.0150),0.7917 (±0.0327),0.7860 (±0.0167),84.2000 (±18.3891),74.6000 (±10.6508),80,48,6,FINETUNED,No
80 Class ISL Base Model  (Overlapping) Finetuned with 48 Class SSL- 6 Instance Per Class (5 runs avg),0.7423 (±0.0218),0.7565 (±0.0107),0.7342 (±0.0233),0.7497 (±0.0137),97.2000 (±20.2623),89.8000 (±14.3164),80,48,6,FINETUNED,Yes
80 Class ISL Base Model  (Movement Overlapping) Finetuned with 48 Class SSL- 6 Instance Per Class (5 runs avg),,0.7780 (±0.0233),,0.7738 (±0.0261),,90.6000 (±7.0880),80,48,6,FINETUNED,Movement
240 Class ISL Base Model Finetuned with 48 Class SSL- 4 Instance per Class (5 runs avg),0.7016 (±0.0378),0.6732 (±0.0303),0.6886 (±0.0392),0.6690 (±0.0330),74.2000 (±13.9628),61.0000 (±7.0143),240,48,4,FINETUNED,No
200 Class ISL Base Model Finetuned with 48 Class SSL- 4 Instance Per Class (5 runs avg),0.7063 (±0.0304),0.7042 (±0.0202),0.6979 (±0.0321),0.6915 (±0.0221),81.2000 (±17.4287),77.8000 (±15.0917),200,48,4,FINETUNED,No
160 Class ISL Base Model Finetuned with 48 Class SSL- 4 Instance Per Class (5 runs avg),0.6979 (±0.0186),0.6589 (±0.0181),0.6947 (±0.0196),0.6575 (±0.0190),67.2000 (±10.0479),76.0000 (±8.7407),160,48,4,FINETUNED,No
120 Class ISL Base Model Finetuned with 48 Class SSL- 4 Instance Per Class (5 runs avg),0.6760 (±0.0303),0.6524 (±0.0222),0.6716 (±0.0282),0.6376 (±0.0246),71.2000 (±8.6348),89.0000 (±12.3126),120,48,4,FINETUNED,No
80 Class ISL Base Model Finetuned with 48 Class SSL- 4 Instance Per Class (5 runs avg),0.6823 (±0.0186),0.6810 (±0.0143),0.6759 (±0.0184),0.6749 (±0.0138),81.4000 (±7.6315),81.6000 (±11.5689),80,48,4,FINETUNED,No
80 Class ISL Base Model  (Overlapping) Finetuned with 48 Class SSL- 4 Instance Per Class (5 runs avg),0.6875 (±0.0350),0.6887 (±0.0172),0.6817 (±0.0353),0.6834 (±0.0180),91.6000 (±22.4731),103.4000 (±23.5423),80,48,4,FINETUNED,Yes
80 Class ISL Base Model  (Movement Overlapping) Finetuned with 48 Class SSL- 4 Instance Per Class (5 runs avg),,0.6631 (±0.0238),,0.6531 (±0.0303),,105.4000 (±21.1528),80,48,4,FINETUNED,Movement
240 Class ISL Base Model Finetuned with 48 Class SSL- 3 Instance per Class (5 runs avg),0.6029 (±0.0229),0.6077 (±0.0250),0.5823 (±0.0336),0.5983 (±0.0255),64.0000 (±7.1274),65.0000 (±12.0830),240,48,3,FINETUNED,No
